_id,UN_VOL_AV,ID_EDIF,area,proprieta,Classifica,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
124,6.855,E00000000710,431.167,Dato non in possesso,Insediamenti residenziali,9.236062453373457,45.49725349104631,"(45.49725349104631, 9.236062453373457)"
125,5.175,E00000000121,74.7569,Dato non in possesso,Edifici scolastici,9.241649927033784,45.498831051621345,"(45.498831051621345, 9.241649927033784)"
126,4.126,E00000001303,73.0474,Dato non in possesso,Insediamenti residenziali,9.239143770250871,45.50370577408856,"(45.50370577408856, 9.239143770250871)"
127,17.648,E00000000333,197.045,Dato non in possesso,Insediamenti residenziali,9.221098260286636,45.49429488678923,"(45.49429488678923, 9.221098260286636)"
128,30.825,E00000000584,299.775,Dato non in possesso,Insediamenti residenziali,9.228968651758647,45.49641458520243,"(45.49641458520243, 9.228968651758647)"
129,5.04,E00000000400,148.214,Dato non in possesso,Insediamenti residenziali,9.220585183354768,45.49534383713349,"(45.49534383713349, 9.220585183354768)"
130,30.825,E00000000581,306.424,Dato non in possesso,Insediamenti residenziali,9.228465305820007,45.496021753298194,"(45.496021753298194, 9.228465305820007)"
131,6.84,E00000001324,393.058,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.241333181614928,45.50351871436724,"(45.50351871436724, 9.241333181614928)"
132,12.799,E00000000655,99.4484,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.220430904614881,45.50910680371452,"(45.50910680371452, 9.220430904614881)"
133,31.08,E00000000711,329.667,Dato non in possesso,Insediamenti residenziali,9.235384312582301,45.496997809221604,"(45.496997809221604, 9.235384312582301)"
134,6.84,E00000001324,182.791,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.24123407657297,45.50361032463644,"(45.50361032463644, 9.24123407657297)"
135,4.82,E00000000898,197.745,Dato non in possesso,Edifici scolastici,9.245991515218538,45.50023711506496,"(45.50023711506496, 9.245991515218538)"
136,24.6,E00000001489,83.6075,Dato non in possesso,Insediamenti residenziali,9.241812854613206,45.50395459098114,"(45.50395459098114, 9.241812854613206)"
137,31.74,E00000000712,335.53,Dato non in possesso,Insediamenti residenziali,9.235460295294427,45.49730399248731,"(45.49730399248731, 9.235460295294427)"
138,23.88,E00000002155,494.562,Dato non in possesso,Insediamenti residenziali,9.244673340970515,45.50751152371599,"(45.50751152371599, 9.244673340970515)"
139,7.719,E00000000304,283.741,Dato non in possesso,Insediamenti residenziali,9.219579150579822,45.49402306559676,"(45.49402306559676, 9.219579150579822)"
140,32.039,E00000000083,386.161,Dato non in possesso,Insediamenti residenziali,9.227524343809698,45.50751249209711,"(45.50751249209711, 9.227524343809698)"
